 Time | Epoch | Learning rate | Train loss | Validation loss | MAE_dft_e_hull_diff | GPU Memory (MB)
19:31 |     1 |     1.000e-03 |     0.0844 |          0.0592 |              0.0592 |               0
20:08 |     2 |     1.000e-03 |     0.0550 |          0.0488 |              0.0488 |               0
20:56 |     3 |     1.000e-03 |     0.0474 |          0.0422 |              0.0422 |               0
21:39 |     4 |     1.000e-03 |     0.0453 |          0.0441 |              0.0441 |               0
22:22 |     5 |     1.000e-03 |     0.0415 |          0.0556 |              0.0556 |               0
23:05 |     6 |     1.000e-03 |     0.0398 |          0.0379 |              0.0379 |               0
23:50 |     7 |     1.000e-03 |     0.0386 |          0.0385 |              0.0385 |               0
24:39 |     8 |     1.000e-03 |     0.0358 |          0.0395 |              0.0395 |               0
25:25 |     9 |     1.000e-03 |     0.0364 |          0.0370 |              0.0370 |               0
