Time,Learning rate,Train loss,Validation loss,MAE_dft_e_hull_diff
38.216551542282104,0.001,0.09523075852298692,0.06737095025222495,0.06737095025222495
75.15722918510437,0.001,0.06504773296564886,0.0574336583946127,0.0574336583946127
114.74053287506104,0.001,0.05871145870309477,0.04915816386545286,0.04915816386545286
150.87103962898254,0.001,0.05747244120330631,0.05286730505524016,0.05286730505524016
184.6921422481537,0.001,0.05111987679059586,0.06145991534606218,0.06145991534606218
219.7816617488861,0.001,0.052327571634381745,0.04785588759398026,0.04785588759398026
255.04893326759338,0.001,0.049964227626536156,0.046287294033940767,0.046287294033940767
286.1424984931946,0.001,0.04815976363647922,0.05631497143122066,0.05631497143122066
324.8185889720917,0.001,0.04718266795018819,0.045254929336686414,0.045254929336686414
359.25343346595764,0.001,0.044335588802427064,0.04195401757259963,0.04195401757259963
394.9191937446594,0.001,0.04362603088363263,0.07681361505722795,0.07681361505722795
431.7078483104706,0.001,0.04378338078563022,0.04973250307038191,0.04973250307038191
462.7258858680725,0.001,0.04228128486764936,0.042972509556717116,0.042972509556717116
502.59851455688477,0.001,0.04200272212171621,0.05146405355689155,0.05146405355689155
538.9962067604065,0.001,0.040911981046352346,0.045216670452691586,0.045216670452691586
573.5958914756775,0.001,0.041838328379629766,0.04645821272743345,0.04645821272743345
611.1423804759979,0.001,0.0413254827413519,0.04956667437274501,0.04956667437274501
646.6163861751556,0.001,0.04060804392065959,0.0430101090464782,0.0430101090464782
686.6018068790436,0.001,0.03710394106517564,0.042072174152644984,0.042072174152644984
724.1918416023254,0.001,0.038454147557593216,0.04165005408439605,0.04165005408439605
763.3140156269073,0.001,0.0385947786722282,0.04504820903318525,0.04504820903318525
798.9689869880676,0.001,0.035294075671144835,0.041938000833783066,0.041938000833783066
840.5568451881409,0.001,0.03702616382506405,0.04296045688371108,0.04296045688371108
876.9672219753265,0.001,0.037479891248043885,0.043146438820981806,0.043146438820981806
914.7287831306458,0.001,0.035280012911755074,0.04930820301436817,0.04930820301436817
951.0143909454346,0.001,0.03416124877436264,0.045025638744048156,0.045025638744048156
980.7418327331543,0.001,0.03370092734486461,0.04425551647022134,0.04425551647022134
1018.9406445026398,0.001,0.03477340893236606,0.04408055030954667,0.04408055030954667
1055.4068763256073,0.001,0.03381350400726315,0.04098363107991742,0.04098363107991742
1086.4234654903412,0.001,0.03427499183572798,0.04258781329678954,0.04258781329678954
1124.7115948200226,0.001,0.0328760086716941,0.04832166350784528,0.04832166350784528
1158.549817085266,0.001,0.033048764058410875,0.04621247126722895,0.04621247126722895
1195.3554725646973,0.001,0.03223512837860045,0.03980512449706434,0.03980512449706434
1236.1822073459625,0.001,0.032923981498817666,0.049102600130593504,0.049102600130593504
1277.1280257701874,0.001,0.03202501044679293,0.04330382632921496,0.04330382632921496
1315.451071023941,0.001,0.03114610941791989,0.04134010556116372,0.04134010556116372
