Time,Learning rate,Train loss,Validation loss,MAE_dft_e_hull_diff
7.438037157058716,0.001,0.09828404144942761,0.09152161745727062,0.09152161745727062
14.860056161880493,0.001,0.06218245843052864,0.042773633074015376,0.042773633074015376
22.29412007331848,0.001,0.05919763749465346,0.041198005918413404,0.041198005918413404
29.794437885284424,0.001,0.04785802001692355,0.037882663749158385,0.037882663749158385
37.08309555053711,0.001,0.04715597998164594,0.037337446117773655,0.037337446117773655
44.590516328811646,0.001,0.0449859187155962,0.03641265165619552,0.03641265165619552
52.14030408859253,0.001,0.04628449169918895,0.05762672520056367,0.05762672520056367
59.69109869003296,0.001,0.04398484035208821,0.04703958036005497,0.04703958036005497
67.1721863746643,0.001,0.042734054137021305,0.03653231751918793,0.03653231751918793
74.69524097442627,0.001,0.04017925652116537,0.039740007411688566,0.039740007411688566
82.30754470825195,0.001,0.039052563652396205,0.04216132653132081,0.04216132653132081
89.81244039535522,0.001,0.037524524349719285,0.04937598477303982,0.04937598477303982
